,index,Unnamed: 0,Q_name,button_pressed,choice_idxs,chosen_pos,chosen_state,chosen_state_f_1_outcome,chosen_state_f_2_outcome,f_1_reward,f_2_reward,incor_questions,internal_node_id,responses,reward_received,rt,s_1_f_1_outcome,s_1_f_1_prob,s_1_f_2_outcome,s_1_f_2_prob,s_2_f_1_outcome,s_2_f_1_prob,s_2_f_2_outcome,s_2_f_2_prob,safe_first,stimulus,subjectID,success,time_elapsed,trial_index,trial_num,trial_type,view_history,switching
51,2933,80,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-77.0,,0.0,611.465,1.0,0.619791351,0.0,0.648089067,1.0,0.554773755,1.0,0.719829837,True,,5c94ee77c70dc500019c7f0f,,1080334,80,,evan-feature22,,1
52,2934,81,,,,2,2,1.0,1.0,1.0,0.0,,0.0-78.0,,1.0,2628.89,1.0,0.631881247,0.0,0.584052341,1.0,0.567943017,1.0,0.7417000229999999,True,,5c94ee77c70dc500019c7f0f,,1092750,81,,evan-feature22,,1
53,2935,82,,,,1,1,1.0,1.0,0.0,-1.0,,0.0-79.0,,-1.0,1480.635,1.0,0.64968251,1.0,0.568222121,1.0,0.629368633,1.0,0.8,True,,5c94ee77c70dc500019c7f0f,,1104014,82,,evan-feature22,,1
54,2937,84,,,,2,2,1.0,1.0,1.0,0.0,,0.0-81.0,,1.0,600.145,1.0,0.663645983,0.0,0.608852351,1.0,0.61806748,1.0,0.8,True,,5c94ee77c70dc500019c7f0f,,1117260,84,,evan-feature22,,1
55,2938,85,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-82.0,,0.0,69.305,1.0,0.667073374,0.0,0.622694241,1.0,0.605227886,1.0,0.783313017,True,,5c94ee77c70dc500019c7f0f,,1127113,85,,evan-feature22,,1
56,2939,86,,,,1,1,1.0,0.0,1.0,0.0,,0.0-83.0,,1.0,392.61,1.0,0.7605589079999999,0.0,0.6334344160000001,1.0,0.59379959,1.0,0.73861361,True,,5c94ee77c70dc500019c7f0f,,1137295,86,,evan-feature22,,0
57,2940,87,,,,2,2,0.0,0.0,1.0,0.0,,0.0-84.0,,0.0,453.145,1.0,0.7544831240000001,1.0,0.660936699,0.0,0.509492795,0.0,0.6462146910000001,True,,5c94ee77c70dc500019c7f0f,,1147532,87,,evan-feature22,,1
58,2941,88,,,,2,2,1.0,1.0,1.0,0.0,,0.0-85.0,,1.0,738.27,1.0,0.7274789429999999,0.0,0.662769615,1.0,0.544926524,1.0,0.688483132,True,,5c94ee77c70dc500019c7f0f,,1158056,88,,evan-feature22,,0
59,2942,89,,,,SLOW,SLOW,,,0.0,-1.0,,0.0-86.0,,-3.0,,1.0,0.8,1.0,0.623524457,1.0,0.5648388320000001,0.0,0.681239038,True,,5c94ee77c70dc500019c7f0f,,1163874,89,,evan-feature22,,1
60,2943,90,,,,2,2,1.0,1.0,0.0,-1.0,,0.0-87.0,,-1.0,410.04,1.0,0.8,0.0,0.670753133,1.0,0.5158076,1.0,0.627836146,True,,5c94ee77c70dc500019c7f0f,,1174075,90,,evan-feature22,,1
61,2944,91,,,,1,1,1.0,0.0,0.0,-1.0,,0.0-88.0,,0.0,26.565,1.0,0.775527162,0.0,0.681016775,1.0,0.51377463,1.0,0.626808982,True,,5c94ee77c70dc500019c7f0f,,1183888,91,,evan-feature22,,1
62,2945,92,,,,1,1,1.0,1.0,1.0,0.0,,0.0-89.0,,1.0,571.32,1.0,0.7596868990000001,1.0,0.656386777,0.0,0.507155515,0.0,0.657587271,True,,5c94ee77c70dc500019c7f0f,,1194249,92,,evan-feature22,,0
63,2946,93,,,,2,2,1.0,0.0,0.0,-1.0,,0.0-90.0,,0.0,367.82,0.0,0.7697730429999999,1.0,0.6696294279999999,1.0,0.405621956,0.0,0.632466576,True,,5c94ee77c70dc500019c7f0f,,1204404,93,,evan-feature22,,1
64,2947,94,,,,1,1,1.0,1.0,1.0,0.0,,0.0-91.0,,1.0,284.295,1.0,0.733077865,1.0,0.589734488,0.0,0.35222996799999995,0.0,0.605848783,True,,5c94ee77c70dc500019c7f0f,,1214473,94,,evan-feature22,,1
